X1	X2	X3	X4	X5	X6	X7	X8	Y1	Y2	
0.411765	0.31	0.639344	0.0	0.0	0.485842	0.133646	0.333333	-1.00	1.00	
0.294118	0.68	0.688525	0.41	0.104019	0.52161	0.088813	0.233333	-1.00	1.00	
0.176471	0.515	0.590164	0.3	0.179669	0.411326	0.278395	0.1	-1.00	1.00	
0.0	0.465	0.819672	0.39	0.0851064	0.646796	0.402647	0.233333	-1.00	1.00	
0.705882	0.5	0.688525	0.33	0.124113	0.447094	0.175064	0.416667	-1.00	1.00	
0.176471	0.935	0.57377	0.22	0.236407	0.542474	0.140905	0.25	1.00	-1.00	
0.176471	0.85	0.52459	0.37	0.265957	0.514158	0.118702	0.15	1.00	-1.00	
0.529412	0.78	0.704918	0.28	0.183215	0.511177	0.474381	0.35	1.00	-1.00	
0.294118	0.0	0.655738	0.32	0.0	0.611028	0.114432	0.266667	-1.00	1.00	
0.0588235	0.57	0.540984	0.36	0.236407	0.567809	0.0900939	0.0	-1.00	1.00	
0.0	0.69	0.0	0.0	0.0	0.540984	0.365073	0.0666667	1.00	-1.00	
0.0588235	0.41	0.52459	0.13	0.112293	0.315946	0.143894	0.0333333	-1.00	1.00	
0.235294	0.945	0.901639	0.31	0.0	0.424739	0.257045	0.266667	1.00	-1.00	
0.0588235	0.595	0.721311	0.41	0.200946	0.675112	0.183177	0.0833333	-1.00	1.00	
0.176471	0.815	0.57377	0.18	0.124113	0.470939	0.0811272	0.116667	1.00	-1.00	
0.117647	0.42	0.0	0.0	0.0	0.0	0.0964987	0.0	-1.00	1.00	
0.294118	0.58	0.606557	0.0	0.0	0.38152	0.0525192	0.15	-1.00	1.00	
0.294118	0.44	0.540984	0.21	0.0271868	0.363636	0.112724	0.15	-1.00	1.00	
0.176471	0.39	0.57377	0.0	0.0	0.484352	0.0819812	0.3	-1.00	1.00	
0.0	0.835	0.0	0.0	0.0	0.481371	0.324936	0.15	1.00	-1.00	
0.294118	0.55	0.557377	0.0	0.0	0.387481	0.0913749	0.15	-1.00	1.00	
0.0	0.52	0.52459	0.23	0.137116	0.414307	0.160547	0.0333333	-1.00	1.00	
0.0588235	0.405	0.590164	0.18	0.0472813	0.396423	0.087532	0.05	-1.00	1.00	
0.411765	0.8	0.442623	0.32	0.206856	0.454545	0.217763	0.3	1.00	-1.00	
0.235294	0.575	0.590164	0.0	0.0	0.4307	0.127242	0.416667	-1.00	1.00	
